Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
7027071456,2021-01-07 00:00:00,2021-01-06 09:08:00,,Nevada,702,Other,Y
4237174417,2021-01-07 00:00:35,2021-01-06 16:01:00,Chattanooga,Tennessee,423,Warranties  & protection plans,Y
5862215498,2021-01-07 00:01:00,2021-01-06 17:55:00,"Sterling Heights,",Michigan,586,Other,N
9283543745,2021-01-07 00:01:51,2021-01-05 14:58:00,Cottonwood,Arizona,928,"Lotteries, prizes  & sweepstakes",Y
9088496148,2021-01-07 00:02:02,2021-01-07 13:30:00,,New Jersey,908,"Reducing your debt (credit cards, mortgage, student loans)",Y
,2021-01-07 00:02:34,2021-01-06 11:00:00,Cedar Rapids,Iowa,920,Warranties  & protection plans,N
7015757718,2021-01-07 00:02:50,2021-01-06 09:43:00,"Sterling Heights,",Michigan,586,Other,N
4065101030,2021-01-07 00:06:26,2021-01-06 20:50:00,,Montana,406,Other,Y
6162268685,2021-01-07 00:07:15,2021-01-05 18:12:00,Bitely,Michigan,231,Dropped call or no message,N
9704360441,2021-01-07 00:08:08,2021-01-06 13:39:00,Bitely,Michigan,231,Dropped call or no message,N
2319123099,2021-01-07 00:08:53,2021-01-06 18:21:00,Bitely,Michigan,231,Dropped call or no message,N
2568492452,2021-01-07 00:10:12,2021-01-05 17:43:00,,Alabama,256,Vacation  & timeshares,Y
8853073757,2021-01-07 00:10:53,2021-01-05 00:15:00,,,,Other,Y
,2021-01-07 00:11:39,2021-01-06 14:00:00,,Oregon,458,No Subject Provided,Y
2562799099,2021-01-07 00:12:30,2021-01-05 18:32:00,,Alabama,256,Vacation  & timeshares,Y
2568492452,2021-01-07 00:13:25,2021-01-06 12:20:00,,Alabama,256,Vacation  & timeshares,Y
2562897778,2021-01-07 00:17:02,2021-01-06 17:07:00,,Alabama,256,Other,Y
2562571526,2021-01-07 00:17:44,2021-01-06 13:11:00,,Alabama,256,Other,Y
3525477605,2021-01-07 00:19:27,2021-01-06 11:49:00,,New Jersey,973,No Subject Provided,Y
6124397651,2021-01-07 00:19:31,2021-01-06 17:36:00,roseville,Minnesota,612,Other,Y
6125020292,2021-01-07 00:20:19,2021-01-06 17:25:00,roseville,Minnesota,612,Other,Y
6122356038,2021-01-07 00:21:06,2021-01-06 12:59:00,roseville,Minnesota,612,Other,Y
9736832119,2021-01-07 00:21:07,2021-01-06 17:23:00,,New Jersey,973,No Subject Provided,Y
9734265073,2021-01-07 00:22:24,2021-01-06 18:38:00,,New Jersey,973,No Subject Provided,Y
2072923077,2021-01-07 00:24:31,2021-01-06 15:44:00,roseville,Minnesota,612,Other,Y
